player_name,Position,Team Name,Buts (sans les pénaltys),npxG: xG sans les pénaltys,Total des tirs,Passes décisives,xAG: Prévu(s) Buts assistés,npxG + xAG,Actions menant à un tir,Passes tentées,% de passes réussies,Passes progressives,Possessions progressives,Dribbles réussis,Touches (SurfRépOff),Passes progressives reçues,Tacles,Interceptions,Balles contrées,Dégagements,Duel aérien gagnés,Age,Categorie_Clustering,Categorie_Large,Categorie_Age
Brajan Gruda,RW,Brighton,0.2,0.21,1.58,0.2,0.24,0.45,5.55,35.79,64.9,3.7,5.55,3.9,5.68,8.98,1.32,0.33,0.79,0.26,0.59,20.0,Ailiers,Attaquants,Jeune (< 23 ans)
Valentín Barco,LB,Sevilla,0.0,0.08,1.78,0.0,0.08,0.16,2.75,63.18,75.4,3.72,1.62,1.13,1.29,4.85,4.04,0.97,0.48,1.29,0.16,20.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Murillo,CB,Nott'ham Forest,0.0,0.05,0.49,0.05,0.04,0.09,1.03,45.5,76.9,2.81,0.78,0.7,0.87,0.19,1.51,1.05,1.38,5.87,1.16,22.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Elliot Anderson,CM,Nott'ham Forest,0.0,0.1,1.58,0.16,0.1,0.19,2.37,40.29,78.4,3.96,2.85,1.66,4.04,5.22,2.45,0.87,2.45,2.53,1.58,21.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Anthony Elanga,RW,Nott'ham Forest,0.14,0.23,1.86,0.32,0.23,0.46,2.46,25.49,69.6,1.71,3.28,0.82,4.39,6.71,1.18,0.36,0.75,0.79,0.71,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Andrew Omobamidele,CB,Nott'ham Forest,0.0,0.01,0.11,0.0,0.01,0.02,0.69,35.63,87.4,0.92,0.11,0.0,0.57,0.0,1.15,1.49,1.38,4.83,0.8,22.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Abde Ezzalzouli,LW,Betis,0.11,0.3,2.92,0.0,0.07,0.36,2.64,38.29,68.0,2.98,5.78,2.64,7.3,9.94,1.74,0.51,0.84,0.51,1.74,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Hugo Álvarez,LW,Celta Vigo,0.13,0.09,1.13,0.13,0.12,0.21,3.01,56.42,82.4,3.58,4.33,1.88,3.95,9.67,1.76,0.56,0.75,1.38,0.44,21.0,Ailiers,Attaquants,Jeune (< 23 ans)
Javi Rodríguez,CB,Celta Vigo,0.34,0.48,2.74,0.14,0.1,0.58,2.33,23.37,76.2,1.58,0.62,0.75,4.94,5.14,0.62,0.27,0.55,0.41,0.89,21.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Damián Rodríguez,DM,Celta Vigo,0.34,0.48,2.74,0.14,0.1,0.58,2.33,23.37,76.2,1.58,0.62,0.75,4.94,5.14,0.62,0.27,0.55,0.41,0.89,21.0,Milieux Défensifs,Milieux,Jeune (< 23 ans)
Williot Swedberg,LW,Celta Vigo,0.59,0.46,2.34,0.23,0.11,0.56,2.22,21.65,73.5,1.64,1.52,0.82,4.68,6.44,1.29,0.0,1.76,0.7,0.82,20.0,Ailiers,Attaquants,Jeune (< 23 ans)
Ilaix Moriba,CM,Celta Vigo,0.0,0.05,0.89,0.2,0.09,0.14,2.56,36.2,81.3,3.74,1.38,0.79,2.16,2.56,2.66,0.79,0.59,1.28,1.28,21.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Hugo Sotelo,CM,Celta Vigo,0.0,0.04,0.86,0.11,0.18,0.23,3.67,80.71,88.5,6.37,1.4,0.97,0.76,2.27,2.16,0.22,0.54,0.86,0.22,20.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Matteo Ruggeri,LM,Atalanta,0.03,0.01,0.35,0.09,0.06,0.07,1.93,58.0,79.7,5.13,2.14,0.73,0.88,4.69,1.32,0.94,1.55,1.7,1.76,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Lazar Samardzic,CM,Atalanta,0.17,0.11,2.23,0.08,0.23,0.33,5.17,36.7,74.8,3.45,2.73,1.68,1.68,4.5,1.6,0.38,0.97,1.05,0.42,22.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
